year,host,metric,value,host_canonical
2001,Шацька р/р УТМР,area_managed,21.5,Шацька р/о УТМР
2001,Облрада УТМР,area_managed,17.8,Облрада УТМР
2001,"Турійське РТМР ""Тур""",area_managed,98.8,Турійське РТМР Тур
2001,"Ковельське СЛГП ""Тур""",area_managed,,"Ковельське СЛАП ""Тур"""
2001,К.-Каширське СЛГП,area_managed,15.6,Камінь-Каширськагроліс
2001,"ТзОВ""Феміда-Інтер"" ",area_managed,,Феміда-Інтер
2001,"ТзОВ ""Вікінг""",area_managed,7.8,Вікінг
2001,Шацький ПНП,area_managed,32.2,Шацький НПП
2001,"ДМГ ""Борове""",area_counted,25.1,Борове ЛМГ
2001,"ДМГ ""Горохівське""",area_counted,40.0,Горохівське ЛМГ
2001,"ДМГ ""Старовижівське""",area_counted,38.3,Старовижівське ЛГ
2001,Звірівське ДЛМГ,area_counted,24.0,Звірівське ЛМГ
2001,В.-Волинське ДЛМГ,area_counted,55.8,Володимир-Волинське ЛМГ
2001,Любешівське ДЛМГ,area_counted,44.6,Любешівське ЛМГ
2001,Ратнівське ДЛМГ,area_counted,55.3,Ратнівське ЛМГ
2001,Городоцький ДЛГ,area_counted,21.7,Городоцьке ЛГ
2001,К.-Каширський ДЛГ,area_counted,43.7,Камінь-Каширське ЛГ
2001,Ківерцівський ДЛГ,area_counted,8.7,Ківерцівське ЛГ
2001,Ковельський ДЛГ,area_counted,8.6,Ковельське ЛГ
2001,Колківський ДЛГ,area_counted,47.2,Колківське ЛГ
2001,Любомльський ДЛГ,area_counted,7.8,Любомльське ЛГ
2001,Маневицький ДЛГ,area_counted,33.6,Маневицьке ЛГ
2001,Цуманський ДЛГ,area_counted,27.2,Цуманське ЛГ
2001,Шацький ДЛГ,area_counted,11.3,Шацьке ЛГ
2001,В.-Волинська р/р УТМР,area_counted,9.2,Володимир-Волинська р/о УТМР
2001,Іваничівська р/р УТМР,area_counted,10.7,Іваничівська р/о УТМР
2001,К.-Каширська р/р УТМР,area_counted,17.5,Камінь-Каширська р/о УТМР
2001,Ківерцівська р/р УТМР,area_counted,18.0,Ківерцівська р/о УТМР
2001,Ковельська р/р УТМР,area_counted,19.5,Ковельська м/о УТМР
2001,Локачинська р/р УТМР,area_counted,10.7,Локачинська р/о УТМР
2001,Луцька р/р УТМР,area_counted,19.3,Луцька р/о УТМР
2001,Любешівська р/р УТМР,area_counted,24.8,Любешівська р/о УТМР
2001,Любомльська р/р УТМР,area_counted,24.1,Любомльська р/о УТМР
2001,Маневицька р/р УТМР,area_counted,11.2,Маневицька р/о УТМР
2001,Ратнівська р/р УТМР,area_counted,13.8,Ратнівська р/о УТМР
2001,Рожищенська р/р УТМР,area_counted,20.6,Рожищенська р/о УТМР
